sending,sending_citizen_unspecified,sending_citizenship_unknown,sending_household_not_owned,sending_household_owned,sending_household_owned_unknown,sending_indigeneity,sending_internet,sending_internet_unknown,sending_marriage_unknown,sending_married,sending_no_indigeneity,sending_no_internet,sending_not_citizen,sending_rural,sending_salary_worker,sending_self_employed,sending_separated,sending_single,sending_sum_income,sending_total_pop,sending_unknown_employment_status,sending_unknown_indigeneity,sending_unpaid_worker,sending_urban,sending_weighted_avg_income,sending_weighted_avg_income_abroad,sending_weighted_avg_no_income_abroad,sending_weighted_avg_unknown_income_abroad,sending_widowed,US_MIG_05_10
20307,1497.227102,-1,1489.17931,1498.879831,1391,1499.681725,1909.878505,-1,-1,2412.26491,1517.184874,1432.302986,-1,5357.111111,5087.754617,3062.598639,2164.115942,596.3369128,2316594,3188,2029.75,1071.428571,0,1475.309779,1497.227102,1108.9375,1501.164132,-1,910.8813559,102
20308,418.0091005,0,724.5420561,391.8908678,344.8275862,375.2544003,2441.643725,175.2727273,-1,706.8029945,1652.357895,325.6326456,-1,123.888311,3534.350109,2155.742297,670.7542373,169.1767241,1313428,11470,308.8333333,192.0294118,0,929.8463016,416.4784656,600.0322581,415.0880995,333.8604651,153.982699,16
20309,1541.375872,1051.909091,1513.539589,1543.187517,2112.321429,1623.095912,2334.585799,2693.714286,333.3333333,2452.679633,1470.377653,1507.892969,4000,1561.758116,4659.398734,3507.411622,2741.459627,720.0901906,5176906,8632,2108.56,1642.434343,0,1513.725698,1541.837349,1617.995192,1537.618966,1785.666667,842.8541667,226
20310,105.3104575,-1,119.7068966,101.128,-1,107.0602007,-1,-1,-1,177.453125,-1,104.6266234,-1,104.6266234,3300,64.74358974,0,62.5620438,32225,616,-1,107,0,-1,104.6266234,0,105.3104575,-1,30.32258065,37
20311,326.0199412,990.5333333,280.3787611,330.0089054,427.7278107,329.6498501,783.7614679,-1,589.4736842,531.1400947,273.8055556,321.5808123,-1,234.9539869,3659.834783,804.9974026,667.7946429,156.3991269,1148902,12268,695.6521739,-1,0,481.0519706,327.5917835,265.9214286,332.4830329,295.9285714,289.9770992,203
20312,84.03316327,-1,500,49.56077348,-1,82.52230971,0,-1,-1,132.1146789,150,84.68123393,-1,84.03316327,8500,227.7285714,280,5.514285714,32941,784,-1,-1,0,-1,84.03316327,-1,84.89948454,0,67.86206897,31
20313,696.951005,321.5,713.6111111,696.2558783,257.2,763.7874659,-1,0,-1,1083.581197,612.0470588,697.6900878,-1,695.07375,3738.74026,2373.238938,1564.909091,376.6756098,556059,1600,-1,1953.625,0,-1,695.07375,536.975,714.6253482,0,145.3928571,298
20314,518.1688466,-1,421.6188525,549.7186441,779.1818182,528.2181818,-1,-1,-1,774.6604278,0,516.9395018,-1,515.7159763,3805.689655,1853.87931,2678.571429,264.627204,435780,1690,0,-1,0,-1,515.7159763,217.7419355,539.3103448,-1,59.3220339,162
20315,151,-1,-1,151.9096386,-1,157.689769,-1,-1,-1,252.8405797,85.61290323,150.5492537,-1,150.5492537,1230.264706,409.7619048,314.2857143,81.35365854,50434,670,-1,-1,0,-1,150.5492537,133.2162162,153.2154882,-1,0,119
20316,564.6163724,-1,775.6415094,541.1968641,-1,541.6475694,1836.857143,0,-1,779.7304688,779.745098,550.1590909,-1,561.0143541,4170.619048,1111.481013,1376.375,393.3453947,351756,1254,400,-1,0,-1,561.0143541,434.3695652,571.0413081,-1,371.6724138,24
